Artichoke,1.4
Jerusalem Artichoke,3.4
Asparagus,1.3
Brussel Sprouts,1.1
Chard,1.3
Chestnuts,1.2
Dandelion Greens,1.8
Endive,1
Sweet Potato (baked),1
Tomato,0.9
Tomato Juice,2.2
Apple Juice,1.5
Apricots (dried uncooked),3.6
Apricots (dried cooked),2.3
Avocado,1.3
Banana (mashed),1.6
Orange Juice (canned),1
Prunes (canned),1.1
Prunes (dried uncooked),3.3
Prune Juice,2.5
Raisins,2.9
Strawberries (frozen),1
Watermelon,2
Bagel,1.2
Bran Flakes 40%,12.3
Bran Flakes with Raisins,17.7
Breadcrumbs (dry),3.6
Gingerbread,1
Macaroni,1.4
Egg Noodles,1.4
Oatmeal,1.7
Hard Roll,1.3
Hot Dogs & Hamburgers,1.2
Cream of Wheat,25
Almonds (shelled),1.7
Cashews,1.2
Walnuts,1.9